Date,Open,High,Low,Close,Adj Close,Volume
2023-06-20,43597.550781,43823.949219,43345.949219,43766.500000,43766.500000,161900
2023-06-21,43894.398438,43946.699219,43698.949219,43859.199219,43859.199219,180000
2023-06-22,43874.800781,44042.148438,43663.351563,43724.851563,43724.851563,263800
2023-06-23,43641.601563,43824.101563,43519.550781,43622.898438,43622.898438,161300
2023-06-26,43714.750000,43773.101563,43541.750000,43641.050781,43641.050781,120700
2023-06-27,43804.550781,44194.648438,43693.148438,44121.500000,44121.500000,137300
2023-06-28,44419.500000,44508.398438,44163.199219,44327.800781,44327.800781,243800
2023-06-30,44666.000000,44787.101563,44447.199219,44747.351563,44747.351563,191300
2023-07-03,44957.949219,45353.199219,44882.101563,45158.101563,45158.101563,228200
2023-07-04,45310.550781,45655.500000,45000.250000,45301.449219,45301.449219,463000
2023-07-05,45169.699219,45418.898438,45073.398438,45151.800781,45151.800781,366300
2023-07-06,45060.550781,45417.500000,45042.601563,45339.898438,45339.898438,244900
2023-07-07,45118.050781,45227.250000,44844.800781,44925.000000,44925.000000,220900
2023-07-10,44958.648438,45184.300781,44721.898438,44860.851563,44860.851563,220900
2023-07-11,44998.000000,45139.550781,44663.050781,44745.050781,44745.050781,209000
2023-07-12,44872.601563,44937.250000,44562.398438,44639.449219,44639.449219,233100
2023-07-13,45009.300781,45085.148438,44612.199219,44665.050781,44665.050781,336800
2023-07-14,44860.648438,44923.851563,44547.800781,44819.300781,44819.300781,196300
2023-07-17,44951.199219,45556.449219,44695.050781,45449.750000,45449.750000,245900
2023-07-18,45754.800781,45905.851563,45281.300781,45410.851563,45410.851563,307300
2023-07-19,45622.500000,45707.398438,45433.000000,45669.300781,45669.300781,261100
2023-07-20,45689.050781,46256.199219,45640.949219,46186.898438,46186.898438,315200
2023-07-21,46063.949219,46369.500000,45925.898438,46075.199219,46075.199219,235600
2023-07-24,46131.898438,46191.500000,45858.750000,45923.050781,45923.050781,225800
2023-07-25,46154.699219,46156.101563,45622.851563,45845.000000,45845.000000,228100
2023-07-26,45935.148438,46096.601563,45804.699219,46062.351563,46062.351563,298400
2023-07-27,46285.851563,46310.101563,45570.648438,45679.300781,45679.300781,320400
2023-07-28,45560.898438,45727.750000,45238.800781,45468.101563,45468.101563,194700
2023-07-31,45546.351563,45694.898438,45359.750000,45651.101563,45651.101563,247900
2023-08-01,45740.000000,45782.750000,45471.050781,45592.500000,45592.500000,175200
2023-08-02,45234.648438,45404.898438,44720.898438,44995.699219,44995.699219,233600
2023-08-03,44862.851563,45038.449219,44279.398438,44513.449219,44513.449219,245800
2023-08-04,44754.750000,45118.050781,44520.550781,44879.500000,44879.500000,245200
2023-08-07,44993.699219,45011.351563,44773.851563,44837.500000,44837.500000,200800
2023-08-08,44888.949219,45096.851563,44817.851563,44964.449219,44964.449219,229400
2023-08-09,44973.449219,44975.000000,44533.750000,44880.699219,44880.699219,177300
2023-08-10,44797.648438,44980.351563,44418.398438,44541.800781,44541.800781,232000
2023-08-11,44568.148438,44571.250000,44120.898438,44199.101563,44199.101563,196900
2023-08-14,44066.601563,44212.750000,43776.898438,44090.949219,44090.949219,172300
2023-08-16,43726.250000,44002.800781,43600.351563,43946.398438,43946.398438,0
2023-08-17,43897.250000,44071.851563,43745.101563,43891.351563,43891.351563,266400
2023-08-18,43724.750000,43957.648438,43672.449219,43851.050781,43851.050781,167600
2023-08-21,43952.851563,44113.800781,43862.000000,44002.000000,44002.000000,126300
2023-08-22,44125.000000,44151.300781,43938.699219,43993.250000,43993.250000,160700
2023-08-23,44064.500000,44521.648438,43952.050781,44479.050781,44479.050781,212400
2023-08-24,44704.199219,44949.898438,44433.750000,44496.199219,44496.199219,220400
2023-08-25,44276.199219,44359.101563,43983.750000,44231.449219,44231.449219,152500
2023-08-28,44253.648438,44610.398438,44201.449219,44494.648438,44494.648438,163000
2023-08-29,44655.750000,44673.000000,44429.800781,44495.250000,44495.250000,140300
2023-08-30,44706.550781,44779.648438,44149.800781,44232.601563,44232.601563,153100
2023-08-31,44265.851563,44399.648438,43895.050781,43989.148438,43989.148438,705100
